Student_ID,Attendance,Internal_Marks,Final_Marks,Total_Marks,CGPA,Study_Hours,Mode
52.0,58.21,22.63,23.63,46.26,4.6259999999999994,1.78,Offline
53.0,84.65,36.97,47.5,84.46,8.446,5.72,Offline
54.0,77.36,23.33,28.200000000000003,51.53,5.1530000000000005,1.14,Online
55.0,82.05,20.38,21.419999999999998,41.8,4.18,2.39,Online
56.0,82.05,38.15,37.31,75.46,7.545999999999999,5.25,Online
57.0,94.41,25.13,24.09,49.22,4.922,2.86,Online
59.0,75.27,38.71,46.77,85.48,8.548,3.27,Offline
60.0,48.96,32.83,39.48,72.31,7.231,4.88,Offline
61.0,53.69,25.97,35.91,61.879999999999995,6.188,5.48,Offline
62.0,40.53,36.34,36.17,72.51,7.251,4.43,Online
63.0,51.03,35.1,35.73,70.83,7.083,6.47,Offline
64.0,41.23,41.76,38.71,80.47,8.047,6.44,Offline
65.0,77.09,25.5,29.33,54.83,5.483,2.12,Offline
66.0,30.34,29.67,39.69,69.35,6.935,4.17,Online
67.0,89.58,38.69,47.51,86.19,8.619,4.12,Online
68.0,66.1144226894429,33.42,31.64,65.06,6.506,1.09,Offline
69.0,88.85,45.3,47.6,92.91,9.291,4.57,Offline
70.0,65.52595555555556,37.95,46.72,84.67,8.467,3.14,Offline
71.0,48.6,16.97,19.16,36.13,3.6130000000000004,1.38,Offline
72.0,59.23,27.24,29.79,57.04,5.704,2.4,Online
73.0,34.88,30.95,28.66,59.62,5.962,2.65,Offline
74.0,98.32,21.6,30.39,51.99,5.199,1.09,Offline
76.0,85.37,24.35,23.28,47.63,4.763,1.11,Online
77.0,88.89,30.39,29.23,59.62,5.962,2.89,Online
78.0,98.85,26.42,27.27,53.69,5.369,1.46,Online
79.0,50.15,20.709999999999997,22.8,43.51,4.351,2.54,Online
80.0,96.92,28.64,40.25,68.88,6.888,4.982382671480144,Offline
81.0,80.32,18.18,21.64,39.82,3.982,1.03,Online
82.0,57.12,39.0,38.48,77.48,7.748,5.54,Online
84.0,87.32,19.06,23.95,43.01,4.301,2.27,Offline
85.0,34.56,28.12,36.39,64.51,6.4510000000000005,5.92,Offline
86.0,50.03,26.31,36.72,63.03,6.303,4.58,Online
87.0,77.22,28.62,36.57,65.18,6.518000000000001,4.38,Offline
88.0,75.98,33.26,45.39,78.65,7.865,4.88,Online
89.0,81.92,35.19,45.480000000000004,80.67,8.067,5.24,Online
90.0,66.1144226894429,24.4,24.43,48.83,4.883,1.93,Offline
91.0,56.86,29.8,40.12,69.92,6.992,5.6,Online
92.0,38.08,32.13999999999999,38.77,70.91,7.090999999999999,4.06,Offline
93.0,56.72,24.28,23.9,48.18,4.818,2.36,Online
95.0,89.27,22.87,24.27,47.15,4.715,2.97,Offline
96.0,81.15,17.85,21.93,39.78,3.978,1.37,Offline
97.0,45.74,29.13,39.1,68.23,6.823,6.95,Online
98.0,54.51,18.25,18.87,37.120000000000005,3.7120000000000006,1.34,Online
100.0,77.87,40.04,42.94,82.98,8.298,3.87,Offline
101.0,31.55,27.83,38.37,66.19,6.619,4.4,Online
102.0,81.37,26.44,28.18,54.62,5.462,2.52,Offline
104.0,31.99,27.08,26.12,53.19,5.319,2.15,Online
105.0,79.09,21.23,21.97,43.2,4.32,2.63,Offline
106.0,84.81,38.81,45.62,84.42,8.442,4.32,Offline
107.0,45.08,31.86,37.32,69.18,6.918000000000001,6.7,Online
108.0,33.51,37.03,44.4,81.42,8.142,5.88,Online
109.0,88.34,35.46,46.62,82.08,8.208,5.37,Online
110.0,31.01,42.76,40.7,83.46,8.346,6.29,Online
111.0,55.39,36.96,36.27,73.24,7.324,5.19,Online
112.0,51.6,22.58,24.62,47.19,4.718999999999999,2.39,Online
113.0,57.25,36.13,40.83,76.96,7.696,5.2,Offline
114.0,65.52595555555556,45.05,42.95,88.0,8.8,3.05,Offline
115.0,57.67,23.83,25.61,49.44,4.944,1.31,Online
116.0,66.1144226894429,35.06,47.03,82.09,8.209,4.35,Offline
117.0,98.02,28.51,30.44,58.94,5.894,2.04,Online
118.0,65.52595555555556,30.13,35.06,65.19,6.519,4.0,Offline
119.0,83.67,22.79,28.85,51.64,5.164,1.9,Online
120.0,44.95,17.98,21.28,39.27,3.9270000000000005,2.83,Online
121.0,49.91,13.42,17.67,31.09,3.109,2.92,Offline
122.0,87.55,42.74,42.74,85.48,8.548,3.2,Offline
123.0,35.72,14.4,15.55,29.94,2.994,1.94,Offline
124.0,45.73,36.41,39.41,75.81,7.581,5.2,Offline
125.0,98.65,38.16,39.85,78.02,7.802,3.81,Online
126.0,51.48,19.63,24.88,44.51,4.451,1.05,Offline
127.0,66.1144226894429,43.63,45.4,89.03,8.903,3.54,Offline
128.0,51.67,23.91,27.84,51.74,5.174,2.66,Offline
129.0,56.89,27.51,35.13,62.64,6.264,4.26,Online
131.0,38.04,37.98,41.24,79.22,7.922,5.23,Online
132.0,52.91,15.31,17.1,32.41,3.2409999999999997,2.74,Offline
133.0,75.56,36.7,38.49,75.19,7.519,4.62,Offline
134.0,59.53,32.56,40.26,72.82,7.281999999999999,4.52,Offline
135.0,89.41,37.04,38.56,75.6,7.56,4.66,Offline
136.0,78.42,28.92,30.8,59.72,5.9719999999999995,2.75,Offline
137.0,57.43,35.57,39.18,74.75,7.475,5.15,Offline
138.0,32.48,35.11,41.03,76.14,7.614,4.74,Online
139.0,82.43,40.900000000000006,42.36,83.26,8.326,4.43,Online
140.0,75.78,27.68,38.41,66.09,6.609,4.982382671480144,Offline
141.0,94.27,21.09,21.28,42.37,4.237,1.15,Online
142.0,81.16,29.17,29.83,59.0,5.9,2.6,Online
143.0,32.75,47.71,44.17,91.88,9.187999999999999,4.41,Online
144.0,96.82,27.74,28.79,56.52,5.652,2.61,Offline
145.0,87.24,40.82,37.88,78.69,7.869,5.96,Offline
146.0,35.42,29.03,40.68,69.71,6.970999999999999,6.75,Online
147.0,59.13,30.47,29.16,59.64,5.964,1.95,Offline
148.0,75.93,20.31,27.16,47.47,4.747,1.46,Online
149.0,51.74,14.63,15.98,30.62,3.0620000000000003,1.63,Offline
151.0,66.70537280701755,48.79,44.39,93.18,9.318000000000001,6.4,Online
153.0,65.52595555555556,31.47,37.39,68.86,6.886,4.33,Offline
154.0,76.05,17.61,20.21,37.82,3.782,2.98,Online
155.0,58.5,23.23,26.8,50.03,5.003,1.18,Online
157.0,87.82,29.95,38.0,67.95,6.795,3.53,Online
158.0,76.45,33.88,31.63,65.51,6.551,4.982382671480144,Online
159.0,93.96,29.1,28.35,57.45,5.745,1.31,Online
160.0,47.79,42.88,40.8,83.68,8.368,4.27,Online
161.0,98.89,44.46,46.21,90.66,9.065999999999999,5.43,Online
162.0,41.18,16.98,18.9,35.87,3.5869999999999997,1.9943303571428572,Offline
163.0,76.9,41.1,46.07,87.17,8.717,4.49,Offline
164.0,50.34,24.69,23.49,48.18,4.818,1.53,Offline
165.0,96.68,43.28,44.21,87.49000000000001,8.749,5.51,Online
166.0,78.97,21.76,30.57,52.33,5.233,2.74,Offline
167.0,52.31,37.81,36.61,74.42,7.442,6.45,Online
168.0,48.51,23.89,29.72,53.61,5.361,2.26,Online
169.0,65.52595555555556,46.24,42.61,88.85,8.885,5.62,Offline
170.0,77.56,22.72,31.25,53.97,5.397,2.38,Online
171.0,89.55,17.35,24.15,41.5,4.15,2.24,Online
172.0,93.74,26.04,36.69,62.74,6.274,5.27,Offline
173.0,53.11,33.86,41.83,75.69,7.569,5.34,Offline
174.0,79.09,35.74,45.33,81.07,8.107,5.08,Online
175.0,81.83,27.42,31.41,58.83,5.883,2.0,Online
176.0,41.93,32.6,37.74,70.34,7.034000000000001,6.95,Offline
177.0,75.78,45.46,43.47,88.93,8.893,4.11,Online
178.0,96.72,30.43,29.32,59.75,5.975,2.54,Online
179.0,30.98,29.35,28.81,58.16,5.816,2.23,Offline
180.0,92.14,36.4,40.59,76.99,7.699,3.6,Offline
181.0,94.94,27.51,39.03,66.54,6.654000000000001,4.37,Offline
182.0,90.0,24.54,23.5,48.04,4.804,2.39,Online
183.0,66.70537280701755,17.34,22.9,40.24,4.024,2.97,Online
184.0,46.79,13.74,15.15,28.89,2.8890000000000002,1.65,Online
185.0,76.96,37.23,40.16,77.39,7.739,3.4,Online
186.0,79.19,20.88,21.25,42.14,4.214,2.27,Offline
187.0,46.24,41.49,42.09,83.58,8.358,6.61,Online
188.0,66.70537280701755,45.13,43.95,89.08,8.908,5.64,Online
189.0,93.29,28.81,36.06,64.87,6.487,3.18,Offline
190.0,99.4,24.42,24.04,48.47,4.8469999999999995,1.36,Online
191.0,92.98,24.79,22.74,47.53,4.753,2.99,Offline
192.0,32.17,31.25,35.31,66.55,6.654999999999999,4.77,Online
193.0,85.64,43.25,39.5,82.75,8.275,4.11,Offline
194.0,43.16,27.16,25.88,53.04,5.304,1.97,Online
195.0,89.81,29.38,30.95,60.32,6.032,1.42,Online
197.0,87.31,33.56,38.21,71.77,7.177,5.61,Offline
198.0,79.09,19.83,24.69,44.53,4.453,2.94,Online
199.0,33.93,23.47,29.55,53.02,5.3020000000000005,1.91,Offline
200.0,83.43,23.94,29.95,53.89,5.389,1.86,Online
201.0,35.03,15.01,15.55,30.56,3.056,2.47,Offline
202.0,47.56,20.87,28.02,48.9,4.89,1.41,Offline
203.0,58.1,31.18,35.38999999999999,66.57,6.656999999999999,4.37,Online
204.0,76.04,40.11,36.93,77.03999999999999,7.703999999999999,5.96,Online
205.0,96.7,22.8,25.46,48.25,4.825,2.03,Online
206.0,39.24,24.79,25.57,50.36,5.036,1.4,Offline
207.0,43.31,27.38,28.02,55.4,5.54,1.35,Online
208.0,87.43,25.45,27.41,52.86,5.286,2.74,Offline
209.0,91.91,19.37,22.59,41.96,4.196,1.9943303571428572,Offline
210.0,59.98,13.57,15.72,29.29,2.929,2.95,Offline
211.0,93.46,38.57,46.42,84.99,8.498999999999999,4.21,Online
212.0,94.95,18.87,25.23,44.1,4.41,2.64,Online
213.0,40.99,33.33,38.96,72.29,7.229000000000001,6.09,Online
214.0,80.68,34.78,35.95,70.73,7.073,4.982382671480144,Online
215.0,55.9,28.55,40.19,68.74,6.874,5.44,Online
216.0,89.5,26.56,26.4,52.96,5.296,2.22,Offline
217.0,30.55,35.44,36.96,72.4,7.24,4.02,Online
218.0,31.81,32.84,44.34,77.18,7.718000000000001,4.982382671480144,Online
220.0,85.34,35.58,36.58,72.16,7.215999999999999,3.54,Online
221.0,33.21,44.14,40.67,84.81,8.481,4.77,Online
223.0,80.3,44.49,42.94,87.43,8.743,4.23,Offline
224.0,94.51,20.26,23.3,43.55,4.3549999999999995,2.65,Online
225.0,43.55,23.67,23.8,47.47,4.747,1.34,Offline
226.0,75.59,39.82,43.35,83.17,8.317,4.82,Offline
227.0,87.42,46.79,47.84,94.63,9.463,3.41,Online
228.0,50.77,33.31,44.91,78.22,7.822,4.39,Online
229.0,32.38,27.85,35.86,63.71,6.371,6.68,Online
230.0,76.74,42.59,41.75,84.34,8.434000000000001,3.2,Online
231.0,91.27,21.99,26.4,48.39,4.839,1.65,Offline
232.0,88.94,20.83,28.770000000000003,49.6,4.96,1.93,Offline
233.0,92.25,27.78,37.61,65.4,6.540000000000001,4.61,Online
234.0,91.62,35.99,45.34,81.33,8.133,5.78,Offline
235.0,98.18,38.17,42.02,80.19,8.019,5.53,Offline
236.0,33.83,42.55,43.26,85.81,8.581,6.35,Offline
237.0,84.0,19.4,21.05,40.45,4.045,2.87,Online
238.0,48.02,36.09,40.16,76.25,7.625,4.982382671480144,Offline
239.0,98.26,18.24,21.4,39.63,3.963,2.63,Offline
240.0,94.75,20.37,23.66,44.03,4.4030000000000005,1.16,Online
241.0,99.39,20.85,27.69,48.54,4.854,2.64,Offline
242.0,90.16,26.29,29.18,55.47,5.547,1.35,Online
243.0,76.7,38.34,35.34,73.68,7.368,3.41,Offline
244.0,39.35,16.77,22.59,39.36,3.936,1.88,Offline
245.0,91.26,22.09,21.82,43.92,4.392,1.12,Offline
246.0,31.73,33.38,41.95,75.33,7.5329999999999995,6.95,Offline
247.0,77.53,25.58,28.31,53.89,5.389,1.12,Offline
248.0,65.52595555555556,35.9,41.23,77.13,7.712999999999999,5.58,Offline
249.0,79.87,25.17,24.41,49.58,4.958,1.83,Offline
250.0,85.4,20.72,25.78,46.5,4.65,1.04,Online
251.0,36.46,38.29,35.12,73.42,7.3420000000000005,4.72,Online
252.0,33.29,24.1,23.22,47.32,4.732,2.0,Online
253.0,39.74,22.16,26.06,48.22,4.822,1.95,Offline
254.0,97.3,39.18,47.42,86.6,8.66,5.36,Offline
255.0,96.02,31.4,35.5,66.9,6.69,5.71,Online
256.0,49.1,37.33,41.14,78.47,7.8469999999999995,4.2,Offline
257.0,92.01,35.06,35.54,70.6,7.06,3.25,Online
258.0,58.7,21.34,26.06,47.4,4.74,1.71,Online
259.0,35.56,35.42,36.74,72.16,7.215999999999999,4.3,Online
260.0,77.05,31.86,31.61,63.47,6.3469999999999995,1.59,Online
261.0,78.03,26.22,27.38,53.6,5.36,2.55,Online
262.0,94.97,22.12,23.51,45.63,4.563000000000001,2.96,Offline
263.0,49.69,18.13,16.92,35.05,3.505,1.68,Offline
264.0,43.18,32.75,41.13,73.88,7.388,4.982382671480144,Offline
265.0,91.15,24.47,23.43,47.91,4.7909999999999995,2.63,Online
266.0,93.88,25.31,25.53,50.83,5.083,2.68,Online
267.0,66.1144226894429,32.17,44.85,77.01,7.7010000000000005,4.982382671480144,Offline
268.0,54.53,38.48,37.14,75.62,7.562,4.982382671480144,Offline
269.0,87.71,37.92,38.87,76.78999999999999,7.678999999999999,4.7,Online
270.0,34.8,17.51,21.92,39.43,3.943,1.02,Online
271.0,42.04,24.9,27.0,51.9,5.1899999999999995,1.41,Online
273.0,80.06,39.42,47.45,86.88,8.687999999999999,4.1,Offline
275.0,85.32,41.75,44.04,85.79,8.579,3.01,Offline
276.0,47.65,16.13,22.21,38.34,3.8340000000000005,2.28,Online
277.0,48.1,20.32,25.15,45.46,4.546,2.61,Offline
278.0,76.46,23.6,24.01,47.62,4.762,2.57,Online
279.0,34.42,14.65,19.92,34.57,3.457,1.87,Online
281.0,42.3,40.31,43.4,83.7,8.370000000000001,5.15,Online
282.0,83.36,36.5,35.34,71.84,7.184,3.07,Offline
284.0,66.70537280701755,30.23,41.28,71.5,7.15,3.4,Online
285.0,65.52595555555556,42.44,44.95,87.39,8.739,3.48,Offline
286.0,66.1144226894429,13.03,16.03,29.07,2.907,1.11,Offline
287.0,37.49,16.79,19.08,35.87,3.5869999999999997,2.52,Offline
288.0,65.52595555555556,27.06,35.81,62.88,6.288,5.72,Offline
289.0,57.0,38.22,35.22,73.44,7.343999999999999,5.99,Offline
290.0,85.47,25.26,23.12,48.38,4.838,2.46,Offline
291.0,89.13,24.12,25.57,49.69,4.968999999999999,2.94,Online
292.0,80.63,21.27,23.01,44.29,4.429,2.7,Online
293.0,93.07,19.09,20.81,39.91,3.9909999999999997,2.42,Offline
294.0,79.14,45.76,47.29,93.06,9.306000000000001,5.55,Offline
295.0,88.64,36.62,35.81,72.43,7.243,4.54,Online
296.0,36.04,31.27,37.59,68.86,6.886,4.49,Online
298.0,75.68,22.11,20.78,42.89,4.289,1.93,Online
299.0,91.42,30.17,29.87,60.04,6.004,1.76,Online
300.0,82.18,28.15,29.51,57.67,5.767,2.16,Offline
301.0,45.99,17.67,17.37,35.04,3.504,2.39,Offline
302.0,38.31,35.01,44.84,79.84,7.984,4.42,Online
303.0,34.56,15.84,21.6,37.45,3.745,2.23,Offline
304.0,99.18,24.19,25.01,49.21,4.921,2.97,Online
305.0,85.69,20.28,21.95,42.22,4.2219999999999995,1.03,Offline
306.0,76.99,30.02,28.78,58.8,5.88,1.37,Offline
307.0,39.43,35.09,39.71,74.81,7.481,6.46,Offline
308.0,40.06,37.85,36.74,74.59,7.4590000000000005,6.14,Offline
309.0,40.44,20.9,21.76,42.65,4.265,2.5,Offline
310.0,86.78,35.82,47.73,83.55,8.355,4.9,Offline
311.0,32.09,13.94,17.62,31.56,3.1559999999999997,2.71,Offline
312.0,50.82,31.5,40.13,71.63,7.162999999999999,4.92,Online
313.0,66.1144226894429,30.92,30.45,61.38,6.138,2.53,Offline
314.0,65.52595555555556,37.16,42.29,79.45,7.945,3.33,Offline
315.0,41.41,25.77,29.65,55.42,5.542,1.22,Offline
316.0,82.0,32.25,30.3,62.55,6.255,1.58,Offline
317.0,58.88,26.72,25.9,52.62,5.262,1.61,Online
318.0,92.59,21.1,26.49,47.59,4.759,1.19,Offline
319.0,89.96,38.76,38.86000000000001,77.62,7.7620000000000005,4.982382671480144,Offline
320.0,50.03,18.5,23.9,42.4,4.24,2.78,Offline
321.0,75.87,44.38,42.58,86.95,8.695,4.807530120481927,Offline
322.0,47.97,17.79,16.72,34.52,3.4520000000000004,1.19,Online
323.0,47.15,18.82,22.76,41.58,4.1579999999999995,1.86,Offline
324.0,97.31,38.83,40.76,79.59,7.9590000000000005,4.82,Online
325.0,45.37,14.83,16.56,31.39,3.1390000000000002,1.77,Online
326.0,93.59,18.99,26.08,45.07,4.507,2.27,Online
327.0,31.37,18.619999999999997,17.1,35.72,3.572,1.55,Offline
328.0,48.32,17.42,19.21,36.63,3.6630000000000003,1.41,Offline
329.0,75.92,21.74,21.3,43.04,4.304,1.68,Offline
330.0,57.95,36.9,38.97,75.87,7.587000000000001,4.26,Offline
331.0,56.23,43.81,39.94,83.75,8.375,6.11,Online
332.0,85.55,39.76,40.34,80.11,8.011,5.72,Offline
333.0,98.88,43.6,45.68,89.28,8.928,3.0,Offline
334.0,48.11,35.73,41.87,77.6,7.76,4.34,Online
336.0,50.36,27.19,38.62,65.81,6.581,5.78,Online
337.0,96.84,47.12,44.41,91.53,9.153,3.36,Online
338.0,30.35,19.08,21.33,40.41,4.0409999999999995,1.9943303571428572,Offline
339.0,88.97,37.92,39.46,77.38,7.7379999999999995,5.19,Offline
340.0,91.82,23.669999999999998,23.3,46.97,4.697,1.61,Offline
341.0,55.73,36.55,44.17,80.72,8.072,5.29,Online
342.0,92.64,33.7,43.95,77.65,7.765000000000001,4.12,Offline
343.0,40.38,16.6,17.309999999999995,33.91,3.3909999999999996,1.05,Online
344.0,42.29,35.91,38.11,74.03,7.4030000000000005,6.03,Online
345.0,43.62,22.65,25.32,47.97,4.797,1.28,Offline
346.0,41.53,30.27,35.39,65.66,6.566,4.09,Online
347.0,43.76,28.29,37.89,66.18,6.618,6.7,Online
348.0,48.09,35.28,43.27,78.55,7.8549999999999995,4.982382671480144,Offline
349.0,83.51,38.74,42.04,80.78,8.078,3.46,Offline
350.0,43.21,29.58,38.02,67.6,6.76,4.78,Online
351.0,66.70537280701755,21.78,23.37,45.15,4.515,1.69,Online
353.0,80.03,22.03,24.74,46.77,4.6770000000000005,1.08,Online
355.0,53.83,20.62,19.14,39.76,3.976,2.75,Online
356.0,44.5,23.76,27.95,51.72,5.172,2.18,Offline
357.0,41.6,21.1,22.67,43.77,4.377000000000001,1.98,Online
358.0,65.52595555555556,31.58,29.17,60.75,6.075,2.15,Offline
359.0,43.17,20.09,27.7,47.79,4.779,2.79,Online
360.0,90.66,41.9,47.04,88.95,8.895,3.06,Online
361.0,78.36,24.11,23.59,47.7,4.7700000000000005,1.72,Offline
362.0,75.22,49.48,47.97,97.44999999999999,9.745,5.03,Offline
363.0,95.85,44.69,44.63,89.31,8.931000000000001,3.43,Offline
364.0,55.38,36.82,41.14,77.95,7.795,4.27,Online
365.0,76.65,24.75,24.189999999999998,48.94,4.894,1.22,Online
366.0,88.06,35.01,38.89,73.91,7.391,3.23,Online
367.0,32.19,16.69,21.04,37.73,3.7729999999999997,1.59,Offline
368.0,85.13,27.5,30.87,58.37,5.837,1.64,Offline
369.0,90.09,29.71,39.65,69.36,6.936,4.94,Online
370.0,66.1144226894429,26.76,27.5,54.25,5.425,1.14,Offline
372.0,38.53,26.23,36.34,62.56,6.256,5.89,Online
373.0,45.33,34.86,35.47,70.33,7.0329999999999995,4.83,Online
374.0,81.17,33.06,44.63,77.69,7.769,3.95,Offline
375.0,39.4,37.46,42.89,80.35,8.035,6.68,Offline
376.0,32.68,21.64,25.31,46.94,4.694,1.99,Online
377.0,79.17,31.02,28.56,59.58,5.958,2.33,Online
378.0,38.94,34.53,36.05,70.58,7.058,4.982382671480144,Online
379.0,66.1144226894429,16.84,21.49,38.33,3.8329999999999997,1.92,Offline
381.0,56.4,35.04,37.16,72.2,7.220000000000001,6.03,Offline
382.0,52.16,32.74,38.16,70.9,7.090000000000001,5.93,Offline
383.0,38.62,15.28,20.52,35.79,3.5789999999999997,1.12,Online
384.0,65.52595555555556,28.26,39.93,68.19,6.819,4.01,Offline
385.0,66.1144226894429,29.5,41.9,71.4,7.140000000000001,4.79,Offline
386.0,50.33,19.86,19.68,39.54,3.9539999999999997,2.55,Offline
387.0,30.51,31.94,42.7,74.65,7.465000000000001,6.42,Offline
388.0,94.33,35.42,41.73,77.15,7.715000000000001,4.04,Online
389.0,59.23,29.35,27.71,57.06,5.706,1.05,Online
390.0,41.94,15.46,19.54,35.01,3.501,1.13,Online
391.0,44.21,38.32,35.58,73.9,7.390000000000001,6.87,Offline
392.0,99.07,16.52,20.91,37.43,3.743,1.73,Online
393.0,94.53,27.599999999999998,26.94,54.54,5.454,1.29,Online
394.0,37.8,16.47,20.18,36.65,3.665,2.83,Online
395.0,76.56,35.16,36.91,72.07,7.206999999999999,3.02,Offline
396.0,88.24,22.26,22.9,45.16,4.516,2.0,Offline
397.0,86.49,19.06,26.56,45.62,4.561999999999999,1.87,Offline
398.0,31.5,28.13,27.65,55.79,5.579,2.96,Online
399.0,79.92,30.94,31.42,62.35,6.235,2.99,Online
400.0,66.1144226894429,38.84,40.94,79.78,7.978,4.22,Offline
401.0,57.24,40.37,44.44,84.81,8.481,6.88,Online
402.0,86.92,42.4,44.34,86.74,8.674,3.74,Offline
403.0,53.15,15.82,22.48,38.3,3.8299999999999996,1.02,Offline
404.0,90.86,23.55,22.66,46.22,4.622,1.64,Online
405.0,75.73,30.83,41.25,72.08,7.208,4.99,Online
406.0,59.8,30.09,35.45,65.53,6.553,6.28,Offline
407.0,58.53,41.38,40.77,82.15,8.215,5.07,Online
408.0,49.7,39.92,37.4,77.33,7.733,4.57,Offline
409.0,66.1144226894429,37.01,35.36,72.37,7.237,4.53,Offline
410.0,85.92,42.69,42.54,85.23,8.523,4.55,Offline
411.0,66.1144226894429,44.46,43.93,88.38,8.838,5.26,Offline
412.0,47.73,18.54,17.79,36.33,3.633,1.66,Online
413.0,58.22,23.15,22.6,45.76,4.576,1.82,Offline
414.0,94.28,29.26,27.86,57.11,5.711,1.3,Online
415.0,31.13,25.4,36.28,61.67,6.167,6.3,Online
416.0,99.33,31.17,37.94,69.11,6.911,4.982382671480144,Online
417.0,59.01,37.12,37.24,74.37,7.437,5.99,Offline
419.0,99.62,27.2,29.05,56.25,5.625,1.79,Offline
420.0,66.1144226894429,34.23,36.67,70.91,7.090999999999999,6.34,Offline
421.0,90.04,39.0,38.86,77.85,7.784999999999999,5.14,Online
422.0,84.23,46.13,47.13,93.26,9.326,5.48,Online
423.0,92.36,36.01,44.48,80.49,8.049,5.59,Online
424.0,83.39,46.79,47.72,94.51,9.451,5.57,Offline
425.0,65.52595555555556,39.37,38.81,78.17,7.817,4.49,Offline
426.0,55.17,38.21,35.11,73.32,7.331999999999999,6.11,Online
427.0,66.1144226894429,29.16,40.46,69.63,6.962999999999999,6.9,Offline
428.0,79.48,25.42,29.6,55.02,5.502000000000001,2.11,Offline
429.0,39.29,18.75,19.35,38.1,3.81,2.74,Online
431.0,82.19,36.98,38.99,75.97,7.5969999999999995,4.06,Offline
433.0,84.35,30.35,31.33,61.68,6.168,2.28,Offline
434.0,52.53,29.19,36.01,65.2,6.5200000000000005,4.83,Offline
435.0,66.1144226894429,16.51,22.15,38.66,3.8659999999999997,2.94,Offline
436.0,66.1144226894429,19.46,24.159999999999997,43.62,4.362,1.8,Offline
437.0,38.62,23.4,24.85,48.25,4.825,2.0,Offline
438.0,82.43,20.04,21.1,41.14,4.114,1.9943303571428572,Offline
439.0,99.13,22.61,23.009999999999998,45.62,4.561999999999999,2.35,Offline
440.0,47.93,20.78,27.99,48.77,4.877000000000001,2.89,Online
441.0,66.70537280701755,21.99,22.43,44.42,4.442,2.18,Online
442.0,89.57,41.47,38.29,79.76,7.976000000000001,4.35,Online
443.0,91.81,22.31,31.72,54.03,5.4030000000000005,1.2,Offline
